Time,Date,Population,Food Ate,Births,Old Age,Starved,Dehydrated,Discomfort,Predator
00:00,15-5-101,32,253,12,0,1,0,17,0
00:00,16-5-101,32,205,10,0,0,1,7,1
00:00,17-5-101,28,197,8,0,0,0,12,0
00:00,18-5-101,34,190,12,0,0,0,5,0
00:00,19-5-101,26,160,6,0,1,0,13,0
00:00,20-5-101,39,214,14,0,0,0,1,0
00:00,21-5-101,42,234,12,0,0,0,8,0
00:00,22-5-101,38,239,13,0,2,2,11,1
00:00,23-5-101,39,208,12,0,0,0,12,0
00:00,24-5-101,41,254,15,0,1,0,12,0
00:00,25-5-101,32,219,8,0,2,0,15,0
00:00,26-5-101,43,220,16,0,0,0,5,0
00:00,27-5-101,33,214,9,0,1,3,15,0
00:00,28-5-101,31,178,10,0,0,0,10,2
00:00,29-5-101,39,245,15,0,2,0,4,1
00:00,30-5-101,35,0,4,0,0,1,7,0
00:00,31-5-101,39,0,1,0,0,0,0,0
00:00,31-5-101,39,0,1,0,0,0,0,0
00:00,1-6-101,36,0,12,0,0,0,14,1
00:00,2-6-101,39,0,16,0,1,0,12,0
00:00,3-6-101,40,0,12,0,0,0,11,0
00:00,4-6-101,45,0,15,0,1,0,9,0
00:00,5-6-101,36,0,10,0,0,0,19,0
00:00,6-6-101,38,0,14,0,1,0,11,0
00:00,7-6-101,42,0,15,0,0,1,10,1
00:00,8-6-101,41,0,14,0,0,0,15,0
00:00,9-6-101,46,0,14,0,1,0,8,0
00:00,10-6-101,45,0,11,0,1,0,11,0
00:00,11-6-101,36,0,12,0,0,1,20,0
00:00,12-6-101,37,0,13,0,0,0,11,1
00:00,13-6-101,39,0,11,0,1,1,7,0
00:00,14-6-101,39,0,10,0,0,0,11,0
00:00,15-6-101,43,0,14,0,0,1,9,0
00:00,16-6-101,38,0,9,0,0,0,14,0
00:00,17-6-101,38,0,12,0,0,0,12,0
00:00,18-6-101,34,0,12,0,0,0,16,0
00:00,19-6-101,34,0,11,0,1,2,7,1
00:00,20-6-101,30,0,9,0,1,2,10,0
