Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
258067,1.24402,9.98736,5.2178,9.03908,0.00405213,0.00619123,174,apple,0,22,3
780785,6.45317,5.20522,8.6703,6.89134,0.00412766,0.00453108,117,apple,1,17,7
577144,0.850463,5.79095,5.22203,3.98524,0.0023934,0.00427015,11,apple,1,14,28
752801,1.25746,5.85243,2.15531,9.40585,0.00935293,0.00282459,146,apple,0,25,29
62133,5.20706,8.69062,9.69397,7.84988,0.00848414,0.00200372,182,apple,1,26,11
829631,3.02001,5.09838,3.53639,7.82774,0.00158349,0.00432714,183,apple,0,10,16
68006,4.52363,1.73737,5.84045,9.40423,0.00113351,0.00892677,87,apple,0,23,27
712108,3.79838,0.52084,9.65122,1.44542,0.00134112,0.00409799,93,apple,0,8,11
855785,4.29596,7.90054,9.84817,8.08801,0.00239296,0.00958456,200,apple,0,11,13
912223,1.99072,0.967257,7.97574,0.277483,0.00924594,0.00840373,61,apple,1,7,28
964476,2.61533,4.59304,0.50477,7.5766,0.00352994,0.00212355,166,apple,1,18,6
349921,8.95092,1.34976,9.6199,2.48155,0.00388555,0.00246572,131,apple,1,8,24
420869,3.17042,4.93052,3.13926,4.1126,0.00122099,0.00955625,152,apple,1,30,12
840834,5.64205,6.02283,7.66418,1.53179,0.00501492,0.0054694,82,apple,0,8,17
192333,2.29356,8.87468,4.12407,5.23181,0.00177407,0.00442047,135,apple,1,13,15
809048,5.44322,2.17078,2.53254,6.68435,0.00340116,0.00218143,194,apple,1,23,13
272928,5.35103,0.796957,3.19783,9.11695,0.00282849,0.00482156,44,apple,0,29,2
515594,8.82168,1.07722,3.21691,4.16492,0.00874554,0.00447467,85,apple,0,4,10
618718,0.360238,1.20223,6.26432,9.49178,0.00326345,0.00188435,163,apple,0,18,27
205376,3.08087,4.40655,9.99647,2.43302,0.00133794,0.00375585,166,apple,0,13,27
214200,3.39959,2.26585,9.25707,4.46413,0.0012234,0.00166383,91,apple,1,2,10
341437,7.37825,8.9587,5.5247,2.98109,0.00782512,0.0031807,46,apple,0,23,28
706791,0.60019,5.71179,3.50374,4.29436,0.00891218,0.00594074,151,apple,1,12,19
76611,7.85968,4.79206,3.66758,4.41319,0.00119633,0.00535436,196,apple,0,14,7
53521,5.67536,0.394077,2.45586,4.20244,0.00321606,0.00347939,183,apple,0,28,28
401033,1.16436,8.05293,2.11273,8.35383,0.00183194,0.00505153,82,apple,1,25,13
776106,0.489134,4.25497,9.92274,8.7041,0.00237673,0.0072668,67,apple,1,26,26
817223,3.24392,2.27924,8.52346,7.05433,0.00225507,0.00848098,143,apple,1,16,24
504911,4.35071,8.66479,9.42939,5.72442,0.00209173,0.00773854,175,apple,0,21,2
830225,6.33387,5.85739,2.50559,7.8916,0.00484054,0.00165711,76,apple,1,3,22
237230,4.78584,7.84868,1.34699,7.96818,0.00547155,0.00191934,48,apple,1,23,24
237206,7.60669,6.41891,7.63345,8.74867,0.0057049,0.00347873,79,apple,0,18,9
122610,0.747922,2.15541,7.96317,9.64581,0.00290735,0.00905933,20,apple,1,30,29
347042,3.77331,8.3685,1.75067,4.02457,0.00240527,0.00205852,41,apple,1,11,2
324876,0.902917,3.84069,1.05253,8.40436,0.00386469,0.00863118,158,apple,1,28,18
471754,5.91711,6.48644,2.46347,7.09055,0.00150718,0.0012767,44,apple,0,22,25
905008,6.41129,3.91853,4.95836,9.9709,0.00480711,0.00364739,105,apple,0,16,27
12413,3.49409,6.6511,8.7905,4.41636,0.00736965,0.00272562,39,apple,1,11,12
574975,4.96436,7.62399,8.54618,5.37295,0.00664916,0.0022355,63,apple,0,23,15
634302,5.17441,3.017,8.60687,1.08617,0.00598435,0.00104682,99,apple,1,5,16
972538,3.69342,7.00672,9.54934,3.9469,0.0065625,0.00219215,104,apple,1,28,25
634302,5.17441,7.18705,8.60687,1.08617,0.00566829,0.00104682,152,apple,0,2,26
634302,7.08369,1.70446,3.46352,1.04028,0.00991301,0.00104682,195,apple,1,5,9
634302,5.35633,3.017,8.60687,5.50685,0.00718575,0.00175627,187,apple,1,8,16
634302,2.67704,7.18705,3.4594,3.52806,0.00667285,0.00104682,152,apple,0,16,16
190576,5.15286,1.71119,8.63347,1.04644,0.00961145,0.00174492,85,apple,0,30,26
634302,5.17441,7.18705,8.60687,1.04644,0.00611425,0.00104682,152,apple,0,5,16
805640,0.511066,7.18705,8.58604,4.75993,0.00566829,0.00104682,31,apple,1,2,26
649866,5.35633,2.22211,6.08169,5.50685,0.00718575,0.00175627,187,apple,1,8,16
190546,2.7177,1.71119,5.12743,1.04644,0.0023059,0.00139974,81,apple,0,2,26
565514,7.60669,7.6888,7.63345,8.75796,0.0057049,0.00347873,46,apple,0,18,28
634302,5.35633,3.017,8.60687,5.50685,0.00718575,0.00175627,187,apple,1,8,17
634302,1.46272,7.74525,3.46352,1.04028,0.00676227,0.00953387,195,apple,1,5,6
