Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
640065,3.65928,7.50893,3.11462,2.75093,0.00937189,0.00104682,106,predator,1,15,11
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,106,apple,1,16,11
640065,3.65928,4.60109,0.186711,2.72696,0.00791436,0.00104682,89,apple,0,8,11
666096,3.65928,7.50893,1.52393,2.72696,0.0179379,0.00104682,92,apple,1,30,14
640065,3.65928,4.60109,0.186711,2.72696,0.00790425,0.00104682,89,apple,0,29,11
770798,3.63994,3.60134,5.82459,1.11729,0.00993204,0.00104682,192,predator,1,16,11
645823,3.65928,7.50893,4.67003,2.33567,0.0179379,0.00104682,89,apple,1,30,19
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,16
770027,3.65928,5.55611,5.83054,1.92212,0.00937189,0.00104682,99,apple,1,22,11
640065,3.65928,4.60109,0.155663,2.72696,0.00790425,0.00104682,89,apple,0,29,11
666096,3.65928,7.50893,5.83054,2.72696,0.0179379,0.00104682,89,apple,1,30,19
770798,3.65928,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,13
666096,3.65928,7.50893,5.83054,2.49571,0.0179379,0.00104682,89,apple,1,30,19
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,13
666096,3.65928,7.50893,5.83054,2.72696,0.0179379,0.00104682,89,apple,1,29,11
770798,3.65928,7.50893,4.67003,1.1669,0.0179379,0.00104682,137,apple,1,14,19
666096,3.65928,7.50893,5.83054,2.33567,0.0174479,0.00104682,89,apple,1,29,19
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,16
770798,3.63994,5.55611,5.83054,1.49821,0.00937189,0.00104682,99,apple,1,16,11
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.0015544,89,apple,1,16,16
666096,3.65928,7.50893,4.67003,2.72696,0.0179379,0.00104682,137,apple,1,14,19
770027,3.63994,3.60134,5.83054,1.92212,0.00993204,0.00104682,106,apple,1,16,11
770798,3.68795,3.60134,5.83054,2.72696,0.00937189,0.00104682,106,apple,1,16,13
640065,3.65928,4.60109,0.186711,2.72696,0.00790425,0.00104682,89,apple,0,29,11
666096,3.66093,7.50893,5.83054,2.33567,0.0174479,0.00104682,89,apple,1,29,14
666096,3.61458,4.60109,0.186711,2.33567,0.00801543,0.00177799,89,predator,0,30,14
770798,3.70723,3.60134,5.83054,2.72696,0.00937189,0.00104682,106,apple,1,16,19
666096,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,29,11
770798,3.65928,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,16
666096,3.66093,7.50893,4.67003,2.33567,0.0174479,0.00104682,137,apple,1,14,19
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,11
666514,3.65928,7.50893,5.83054,2.33567,0.0174479,0.00104682,137,apple,1,29,19
666096,3.65928,3.60134,5.83054,2.72696,0.0179379,0.00104682,92,apple,1,14,11
