Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
204119,5.12244,7.62249,8.60687,9.9709,0.00360619,0.00104682,105,apple,1,10,2
346990,5.06938,7.64457,3.9539,4.42826,0.00697508,0.00104682,96,apple,1,8,11
739976,5.10777,7.64457,3.9539,2.77394,0.00397481,0.00104682,126,scavenger,1,5,13
657500,5.12244,7.666,3.9539,4.42069,0.00401135,0.00104682,105,apple,1,4,13
275554,5.12244,7.64457,3.93968,9.92096,0.00443165,0.00104682,123,apple,1,4,8
543514,4.48014,7.64457,3.9539,2.77394,0.00697508,0.00104682,96,apple,1,8,11
543563,5.06938,7.62249,3.9539,4.42826,0.00529063,0.00104682,96,apple,1,8,13
346990,4.49051,7.64457,3.9539,4.42826,0.00713422,0.00104682,96,apple,1,8,11
347073,5.08857,7.64457,3.93968,9.92096,0.00443165,0.00104682,123,apple,1,8,8
445332,4.49051,7.64457,3.94962,9.9709,0.00609131,0.00104682,123,apple,1,8,12
346990,5.0814,7.64457,4.57662,9.9709,0.00733466,0.00104682,105,apple,1,10,2
543563,4.48014,7.65831,4.25813,2.77394,0.00697508,0.00104682,126,apple,1,8,11
275554,5.12244,7.64457,4.25813,9.92096,0.00737715,0.00104682,123,apple,1,8,8
346990,5.0814,7.64457,4.60062,2.77394,0.00609131,0.00104682,126,apple,1,8,11
543563,5.06938,7.64801,3.9539,4.42826,0.00529063,0.00104682,156,apple,1,8,13
147618,5.0814,7.61417,4.57662,4.42069,0.00567301,0.00104682,96,apple,1,7,10
147618,5.12528,7.61344,3.97923,2.75028,0.00397197,0.00104682,97,apple,1,12,11
543514,4.44272,7.65122,4.25813,4.42826,0.00529063,0.00104682,126,apple,1,8,12
147618,5.11439,7.65528,3.93968,2.75028,0.00443165,0.0010324,97,apple,1,8,8
543563,4.48014,7.65831,4.25813,2.77394,0.0065332,0.00104682,126,apple,1,8,11
543563,5.12244,7.666,3.04496,2.77394,0.00529063,0.00104682,126,apple,1,8,12
543435,5.11439,7.64457,3.93968,2.75028,0.00733466,0.00104682,126,apple,1,8,11
346990,5.12244,7.69072,3.04496,8.04946,0.00751664,0.00104682,111,scavenger,1,8,14
543495,4.49051,7.64457,3.89508,2.75028,0.00733466,0.00104682,126,scavenger,1,8,12
543475,5.12244,7.666,3.93968,4.42069,0.00733466,0.00104682,126,apple,1,4,11
543563,5.06938,7.64801,3.9539,4.42826,0.00529063,0.00104682,96,apple,1,8,15
543495,4.49051,7.69072,3.04496,8.04946,0.00751664,0.00104682,126,scavenger,1,8,12
657500,5.12244,7.666,3.93968,4.42069,0.00401135,0.00104682,105,apple,1,4,13
275554,4.49051,7.64457,3.9539,4.42826,0.00713422,0.00104682,123,apple,1,8,11
543528,7.54636,7.64457,3.89508,2.75028,0.00751664,0.00104682,126,scavenger,1,8,12
543608,4.4711,7.65122,4.25813,2.77394,0.00617856,0.00104682,126,apple,1,8,11
543563,4.78077,7.65831,4.60062,2.77394,0.00697508,0.00104682,126,apple,1,8,11
739976,4.49051,7.64457,8.87876,2.78734,0.00751664,0.00301912,126,scavenger,1,5,13
147618,5.11439,7.64457,3.93968,2.75028,0.00354716,0.0010324,123,apple,1,9,8
543475,4.03791,7.65122,3.93968,2.77394,0.00617856,0.00104682,126,apple,1,4,11
147618,5.0814,7.61417,3.00255,2.77394,0.00529063,0.00104682,96,apple,1,7,8
543563,5.0814,7.64457,4.57662,4.42826,0.006992,0.00104682,105,apple,1,10,12
275554,4.44272,7.65122,4.25813,4.42826,0.00713422,0.00104682,126,apple,1,8,12
346990,4.49051,7.64457,3.9539,4.42826,0.00713422,0.00104682,96,apple,1,8,11
543563,5.12244,7.64801,4.25813,9.92096,0.00737715,0.00104682,109,apple,1,8,15
543473,4.46919,7.64457,3.04496,8.04946,0.00751664,0.00104682,126,scavenger,1,8,12
543563,4.48014,7.65831,4.60062,2.43539,0.00697508,0.00104682,126,apple,1,8,11
543608,4.4711,7.65122,3.80692,2.77394,0.00401135,0.00104682,126,apple,1,8,13
543563,5.0814,7.666,4.57662,2.77394,0.006992,0.00104682,105,apple,1,11,12
275554,4.44272,7.65122,3.93968,4.42826,0.00617856,0.00185011,126,apple,1,4,11
