Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
277867,3.95177,7.63829,3.94227,6.48642,0.00869599,0.00104682,180,scavenger,1,13,15
533306,3.92013,7.65202,4.94908,2.77802,0.00415816,0.00101139,69,apple,1,16,23
533306,3.92013,8.80795,4.94908,2.77802,0.00415816,0.00101139,75,apple,1,16,23
746897,8.33306,7.6214,4.60545,2.82606,0.00807515,0.00104682,185,apple,1,16,23
529375,3.92013,8.24524,4.94908,2.77802,0.00415816,0.00104682,75,apple,1,16,23
809529,3.92013,7.67566,4.60545,2.77816,0.00415816,0.00104682,69,apple,1,13,23
746897,3.94709,7.65202,4.60545,2.82606,0.00807515,0.00104682,189,apple,1,16,23
529615,3.92013,7.59666,4.94908,2.77802,0.00461412,0.00101139,132,apple,1,13,11
491165,3.92013,7.65202,3.94227,2.77816,0.00415816,0.00104682,66,apple,1,16,13
529615,3.65928,7.55861,4.60545,2.77816,0.00937189,0.00104682,185,apple,1,18,23
529615,3.92013,8.83847,4.94908,2.77802,0.00461412,0.00101139,75,apple,1,16,11
533306,3.96911,7.6214,3.94227,2.77816,0.00415816,0.00104682,90,apple,1,16,13
529615,3.92013,8.83847,4.98525,2.77802,0.00461412,0.00101139,132,apple,1,13,11
529615,3.92013,8.24524,4.94908,2.77802,0.00937189,0.00104682,182,apple,1,18,4
529615,3.65928,7.65202,4.60545,2.75093,0.00937189,0.00104682,75,apple,1,18,23
491165,3.92013,7.65202,3.94227,2.77816,0.00415816,0.00104682,127,apple,1,16,13
580368,3.9469,7.65202,4.94908,2.77802,0.00415816,0.00104682,69,apple,1,13,9
746897,3.6646,7.65202,3.94227,2.77816,0.00415816,0.00104682,66,apple,1,16,13
278416,3.95177,7.63829,3.94227,6.48642,0.00937189,0.00104682,180,scavenger,1,13,16
529615,3.99114,8.24524,4.60545,9.38384,0.00807515,0.00104682,75,apple,1,13,23
529615,3.74135,8.84181,3.94227,2.77816,0.00461412,0.00104682,132,apple,1,13,11
528940,3.65928,7.55861,4.56119,2.78777,0.00415816,0.00104682,127,apple,1,15,11
424754,3.99114,8.24524,4.77727,9.38384,0.00807515,0.00104682,66,apple,1,18,23
529615,3.99114,8.24524,4.94908,2.76399,0.00807515,0.00104682,72,apple,1,17,4
278416,3.95177,7.63829,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,1,13,16
529615,3.65928,7.55861,4.60545,2.75093,0.00937189,0.00104682,185,apple,1,18,23
530057,3.92013,8.83847,4.94908,2.77802,0.00461412,0.00101139,75,apple,1,19,11
528853,3.65928,7.55861,4.60545,2.75093,0.00937189,0.00104682,185,apple,1,16,16
278510,3.95177,7.63829,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,16
528853,3.99114,7.55861,4.94908,2.76399,0.00937189,0.00104682,185,apple,1,16,16
808677,3.92013,7.55861,4.60545,2.77816,0.00937189,0.00104682,185,apple,1,18,23
491165,3.92013,7.6214,3.95288,2.77816,0.00415816,0.00104682,90,apple,1,16,13
528853,3.92013,7.55861,4.80919,2.77802,0.00937189,0.00104682,132,apple,1,16,11
278510,3.95177,7.63829,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,16
530057,3.6646,7.67652,4.94908,2.7973,0.00461412,0.00101139,75,apple,1,13,11
528853,3.92013,7.55861,4.80919,2.77802,0.00415816,0.00104682,132,apple,1,16,23
278510,3.95177,7.60764,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,16
746897,3.92013,7.55861,5.15464,2.77802,0.00807515,0.00104682,157,apple,1,16,11
528853,3.92013,7.90193,4.94908,2.77802,0.00937189,0.00104682,182,apple,1,16,4
278416,3.95177,7.63829,3.94227,4.65614,0.00937189,0.00104682,180,scavenger,0,13,20
808677,3.96911,7.6214,3.94227,2.77816,0.00937189,0.00104682,185,apple,1,16,22
528853,3.99114,7.90193,4.94908,2.77802,0.00783092,0.00104682,182,apple,1,15,4
529615,3.65928,8.24524,4.60545,2.77802,0.00937189,0.00104682,182,apple,1,18,23
491165,3.92013,7.65202,3.94227,2.77816,0.00461412,0.00101139,75,apple,1,16,11
746897,3.96947,7.55861,5.15464,2.77802,0.00840078,0.00104682,157,apple,1,16,11
533306,3.92013,7.55861,4.80919,2.77802,0.00415816,0.00101139,75,apple,1,16,23
491165,3.94709,7.6214,3.95288,2.77816,0.00415816,0.00104682,189,apple,1,16,13
528853,3.99114,7.55861,4.94908,2.77816,0.00937189,0.00104682,185,apple,1,18,23
808677,3.95091,7.6214,3.94227,2.77816,0.00937189,0.00104682,185,apple,1,18,22
528853,3.92013,7.90193,4.94908,2.77802,0.00937189,0.00104682,182,banana,1,16,4
528940,3.65928,7.65202,4.56119,2.78777,0.00415816,0.00104682,69,apple,1,15,9
529375,3.92013,8.24524,4.94908,2.77802,0.00415816,0.00104682,75,apple,1,18,21
528853,3.92013,8.84181,3.94227,2.77816,0.00461412,0.00104682,132,apple,1,16,11
