Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
450376,3.99114,7.6214,4.60545,2.77816,0.00415816,0.00104682,90,apple,1,16,13
277867,3.95177,7.63829,3.94227,6.48642,0.00869599,0.00104682,180,scavenger,1,13,15
450376,3.99114,7.63829,3.94227,2.77802,0.00415816,0.00101139,90,apple,1,15,13
529615,3.97217,7.59666,5.26863,2.99578,0.00752387,0.00104682,185,apple,1,13,16
533306,3.92013,7.65202,4.94908,2.77802,0.00415816,0.00101139,69,apple,1,16,23
533306,3.96911,7.65202,3.94227,2.77816,0.00549578,0.00104682,90,apple,1,16,13
450376,3.94709,7.6214,4.60545,2.77816,0.00937189,0.00104682,90,apple,1,16,13
809529,3.99114,7.64686,4.60545,2.77816,0.00863306,0.00104682,75,apple,1,13,13
809529,3.99114,7.59666,4.91624,2.77816,0.00937189,0.00104682,180,scavenger,1,12,26
746897,3.99114,7.61498,6.50822,9.38384,0.00807515,0.00104682,185,apple,1,16,15
746897,3.94709,7.65202,4.60545,9.38384,0.00807515,0.00104682,185,apple,1,16,23
926112,3.96911,7.6214,4.60545,2.82606,0.00923014,0.00104682,185,apple,1,10,13
809529,3.92013,7.65202,4.60545,2.77816,0.00549578,0.00104682,75,apple,1,13,23
450376,3.92013,7.67566,4.60545,2.77802,0.00415816,0.00104682,69,apple,1,15,13
533306,3.92013,8.80795,4.94908,2.77802,0.00415816,0.00101139,75,apple,1,16,23
746897,3.94709,7.65202,3.94227,6.11224,0.00807515,0.00104682,90,apple,1,15,13
529615,3.97217,7.6214,5.26863,2.77816,0.00937189,0.00104682,133,apple,1,13,23
529615,3.92013,7.59666,5.26863,2.77802,0.00415816,0.00104682,132,apple,1,13,11
529615,3.92013,7.59666,4.60545,2.99578,0.00752387,0.00104682,185,apple,1,13,23
450376,3.94709,7.6214,4.60545,2.77802,0.00937189,0.00104682,69,apple,1,11,16
359244,3.65928,7.6214,4.60545,2.77816,0.00981492,0.00104682,102,apple,1,15,23
450376,3.92013,7.65202,4.60545,2.77802,0.00549578,0.00104682,69,apple,1,11,23
529615,3.92013,8.83847,4.94908,2.77802,0.00415816,0.00104682,75,apple,1,16,11
809529,3.99114,7.67429,4.60545,2.77816,0.00863306,0.00104682,75,apple,1,13,13
809529,3.9605,7.59666,4.60545,2.77802,0.00840438,0.00104682,75,apple,1,13,16
359244,3.65928,7.59015,4.60545,2.77816,0.00937189,0.00104682,133,apple,1,15,23
809529,3.65928,7.6214,4.60545,2.77816,0.00863306,0.00103092,75,apple,1,13,13
809529,3.96911,7.59666,3.96663,2.77802,0.00549578,0.00104682,75,apple,1,16,13
809529,3.65928,7.67429,4.60545,2.77816,0.00863306,0.00104682,75,apple,1,13,13
529615,3.92013,8.24524,4.94908,2.77802,0.00549578,0.00104682,75,apple,1,16,23
359244,3.65928,7.59015,4.60545,2.77816,0.00937189,0.00104682,185,apple,1,15,23
746897,3.99114,7.61498,6.50822,9.38384,0.00807515,0.00104682,75,apple,1,16,16
809529,3.65928,7.67429,4.60545,2.77816,0.00863306,0.00103092,75,apple,1,13,13
629952,3.94709,7.6214,4.60545,2.77816,0.00863306,0.00104682,75,apple,1,16,13
746897,8.33306,7.6214,4.60545,2.82606,0.00807515,0.00104682,185,apple,1,16,23
529615,3.65928,7.55861,4.60545,2.77816,0.00937189,0.00104682,185,apple,1,13,23
529615,3.92013,7.59666,4.60545,2.99578,0.00415816,0.00104682,185,apple,1,15,13
450376,3.94709,5.19757,4.28604,2.77816,0.00549578,0.00126605,90,apple,1,16,13
529375,3.92013,8.24524,4.94908,2.77802,0.00415816,0.00104682,75,apple,1,16,23
529615,3.99114,7.61206,3.94227,2.77802,0.00220807,0.00101139,81,apple,1,16,23
629952,3.65928,4.46061,4.60545,2.77816,0.00928934,0.00104682,75,apple,1,13,29
746897,8.33306,7.65202,3.94227,6.11224,0.00807515,0.00104682,185,apple,1,16,23
778213,3.99114,7.65202,4.60545,9.38384,0.00807515,0.00104682,75,apple,1,16,23
529615,3.92013,7.59666,4.94908,2.77802,0.00752387,0.00104682,75,apple,1,13,16
529615,3.65928,7.55861,4.60545,2.77816,0.00937189,0.00104682,185,apple,1,13,13
529375,3.92194,8.24524,4.94908,2.77802,0.00415816,0.00101139,75,apple,1,15,13
746897,3.99114,7.61498,6.50822,2.77816,0.00807515,0.00104682,90,apple,1,16,13
533306,3.96911,7.65202,3.96663,2.77802,0.00415816,0.00104682,69,apple,1,16,13
746897,3.94709,7.65202,4.60545,9.38384,0.00923014,0.00104682,185,apple,1,16,23
