Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
640065,3.65928,7.50893,3.11462,2.75093,0.00937189,0.00104682,106,predator,1,15,11
665558,3.65928,3.60134,0.186711,2.72696,0.00937189,0.00104682,89,apple,1,29,16
640065,3.65928,5.60084,5.83054,2.72696,0.00937189,0.00104682,185,apple,1,15,11
613009,3.63994,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,19
807420,3.65928,7.50893,4.90219,2.72696,0.00937189,0.00104682,89,apple,1,29,19
640065,3.65928,7.50893,5.83054,2.33567,0.0179379,0.00142225,106,apple,1,30,14
640065,3.65928,4.60109,0.186711,2.72696,0.00801543,0.00104682,89,apple,0,29,11
640065,3.65928,4.60109,0.186711,2.72696,0.00801543,0.00104682,89,apple,1,29,19
665827,3.65928,3.60134,0.186711,2.72696,0.00937189,0.00104682,89,apple,1,15,11
613009,3.63994,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,30
640065,3.65928,7.50893,5.83054,2.33567,0.00895955,0.00142225,106,apple,1,29,19
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,106,apple,1,16,11
625551,3.65928,7.50893,5.83054,2.33567,0.00895955,0.00142225,89,apple,1,29,19
639908,3.65928,5.60084,5.83054,2.53131,0.00895955,0.00104682,145,apple,1,29,12
640065,3.65928,4.60109,0.186711,2.72696,0.00801543,0.00104682,89,apple,0,29,11
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,106,apple,1,16,11
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,106,apple,1,16,11
784241,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00142225,106,apple,1,29,19
640065,3.65928,4.60109,0.186711,2.72696,0.00791436,0.00104682,89,apple,0,8,11
625551,3.65928,7.50893,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,29,11
639908,3.65928,3.60134,5.83054,2.53131,0.00895955,0.00142225,145,apple,1,29,12
666096,3.65928,3.60134,1.52393,2.72696,0.00937189,0.00104682,89,apple,1,29,19
625551,3.65928,7.50893,5.83054,2.33567,0.00762417,0.00142225,89,apple,1,29,19
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,192,apple,1,16,11
665558,3.66984,4.60109,0.186711,2.72696,0.00937189,0.00104682,89,apple,1,29,16
770798,3.63994,3.60134,5.83054,1.11729,0.00993204,0.00104682,149,apple,1,16,11
639908,3.65928,3.60134,5.83054,2.53131,0.00895955,0.00104682,145,apple,1,29,12
625551,3.65928,7.50893,5.83054,2.72696,0.00937189,0.00142225,89,apple,1,29,19
736290,3.65928,3.60134,4.90219,2.72696,0.00937189,0.00104682,89,apple,1,15,11
770798,3.65928,3.60134,5.83054,1.11729,0.00993204,0.00142225,106,apple,1,16,19
625551,3.65928,6.5968,5.83054,2.50533,0.00762417,0.00104682,185,apple,1,15,19
