Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
533306,3.92013,7.65202,4.94908,2.77802,0.00415816,0.00101139,69,apple,1,16,23
746897,3.92013,7.55861,5.15464,2.77802,0.00807515,0.00104682,157,apple,1,16,11
529615,3.92013,8.24524,4.60545,2.77802,0.00381468,0.00104682,75,apple,1,13,23
278510,3.95177,7.63829,8.79611,6.48642,0.00937189,0.0010416,180,scavenger,1,13,16
278510,3.95177,7.63829,3.94227,6.48642,0.00937189,0.00104682,180,scavenger,1,13,15
454064,3.65928,7.55861,4.60545,2.75093,0.00937189,0.00104682,185,apple,1,18,11
529615,3.65928,7.55861,4.60545,2.75093,0.00807515,0.00104682,185,apple,1,17,11
532186,3.65928,7.65202,4.60545,2.75093,0.00940658,0.00104682,66,apple,1,18,11
278510,3.95177,8.67338,9.86395,6.48642,0.00937189,0.00104682,180,scavenger,0,13,17
530041,3.981,7.90193,4.60545,2.75093,0.00937189,0.00104682,181,apple,1,17,11
278510,3.95177,7.60764,3.94227,5.57128,0.00937189,0.00104682,180,scavenger,0,13,17
454064,3.99114,8.22154,4.93601,2.77802,0.00937189,0.00104682,72,apple,1,12,18
532186,3.65928,7.55861,4.94908,2.80797,0.00940658,0.00104682,72,apple,1,18,18
454064,3.65928,8.24524,8.71865,2.75093,0.00807515,0.00104682,72,apple,1,18,18
639830,3.99114,8.22154,4.9457,2.77802,0.00937189,0.0010291,72,apple,1,12,23
521075,3.92013,4.90479,4.94908,2.77802,0.00807515,0.00104682,72,apple,1,16,11
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,scavenger,1,13,17
278510,3.95177,7.60764,3.94227,6.48642,0.00937189,0.00104682,180,scavenger,0,28,17
115034,3.99114,8.25992,4.94908,2.75093,0.00807515,0.00104682,72,apple,1,18,18
251726,3.92013,7.65202,4.94908,2.75093,0.00415816,0.00104682,69,apple,1,16,17
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,predator,0,13,16
531335,3.65928,7.5522,4.60545,2.75093,0.00807515,0.00104682,72,apple,1,17,11
639830,3.99114,1.35333,4.93601,2.77802,0.00937189,0.00104682,74,apple,0,12,23
529615,3.65928,7.55861,4.65226,2.75093,0.00807515,0.00104682,72,apple,1,17,11
527190,3.92013,7.65202,4.94908,2.77802,0.00807515,0.00101139,66,apple,1,16,23
529615,3.92013,7.55861,4.65226,2.77802,0.00807515,0.00104682,72,apple,1,16,11
512235,3.65928,7.55861,4.94908,2.77802,0.00940658,0.00101139,72,apple,1,17,11
529615,3.981,7.90193,4.65226,2.77802,0.00937189,0.00104682,181,apple,1,17,11
532186,3.65928,7.55861,4.94908,2.75565,0.00940658,0.00101139,72,apple,1,16,11
639830,3.69035,7.55861,4.60545,2.77802,0.00882338,0.00104682,185,apple,0,15,11
639830,3.65928,8.24524,8.71865,2.75093,0.00807515,0.00104682,74,apple,1,18,18
532186,3.65928,7.55861,4.94908,2.75565,0.00940658,0.00101139,72,apple,1,16,11
454064,3.65928,7.90193,4.60545,2.75093,0.00937189,0.00104682,185,apple,1,17,11
278510,3.95177,7.63829,8.79611,5.15905,0.00937189,0.0010416,180,scavenger,1,13,16
639830,3.981,7.90193,4.65226,2.77802,0.016171,0.00104682,181,apple,1,12,23
512235,3.92013,7.529,4.65226,2.77802,0.00940658,0.00101139,72,apple,1,16,11
529615,3.65928,7.55861,4.65226,2.75093,0.00807515,0.00104682,185,apple,1,17,11
