Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
147618,6.41129,7.666,8.60687,9.9709,0.00397481,0.00104682,146,apple,1,11,8
204119,5.12244,7.62249,8.60687,9.9709,0.00360619,0.00104682,105,apple,1,10,2
657500,5.08895,7.65653,3.9539,4.42069,0.00401135,0.00104682,101,apple,1,4,19
346990,5.06938,7.64457,3.9539,4.42826,0.00697508,0.00104682,96,apple,1,8,11
575003,5.06938,7.64457,3.9539,3.58927,0.00401135,0.00104682,96,apple,1,5,11
147618,6.41129,7.666,3.93968,9.9709,0.00397481,0.00104682,121,apple,1,11,7
575003,5.06938,7.666,3.9539,3.60205,0.00397481,0.00104682,96,apple,1,5,8
204119,5.06938,7.666,6.26753,2.79405,0.00654073,0.00104682,146,apple,1,10,8
204119,5.74033,7.62249,8.60687,9.9709,0.00360619,0.00104682,107,apple,1,4,2
739976,5.10777,7.64457,3.9539,2.77394,0.00697508,0.00104682,126,apple,1,3,14
346990,6.36569,7.64457,2.85228,4.42826,0.00360619,0.00104682,99,scavenger,1,8,11
575003,5.08895,7.64457,3.9539,4.42069,0.00697508,0.00104682,105,apple,1,4,11
346990,5.06938,7.666,3.9539,3.58927,0.00401135,0.00104682,96,apple,1,5,11
204119,5.12244,7.61175,3.91014,4.42069,0.00668798,0.00104682,105,apple,0,4,13
657557,5.06938,7.64457,8.57956,4.42826,0.00654073,0.00104682,136,apple,1,8,8
657557,5.06938,7.64457,8.57956,4.42826,0.00654073,0.00104682,136,apple,1,8,8
346990,4.48014,7.64457,3.9539,4.42826,0.00697508,0.00104682,96,apple,1,8,11
147618,5.06938,7.666,8.60687,2.79405,0.00397481,0.00104682,145,apple,1,17,8
657500,5.08895,7.666,3.9539,3.58927,0.00401135,0.00104682,98,apple,1,3,19
204119,5.12244,7.65122,3.94962,2.75028,0.00443165,0.00104682,99,apple,0,12,5
147619,2.85555,7.666,6.26753,2.79405,0.00397481,0.00104682,121,apple,1,10,7
657557,5.0974,7.64457,0.414429,2.75028,0.00654073,0.00104682,136,apple,1,8,8
346990,4.48716,7.71278,3.9539,4.42069,0.00609131,0.00186815,96,apple,1,8,8
739976,5.10777,7.64457,3.9539,2.77394,0.00397481,0.00104682,126,scavenger,1,5,13
204119,5.12244,7.62249,8.60687,4.42069,0.00654073,0.00104682,96,apple,1,8,2
575003,5.08895,7.666,3.9539,4.42069,0.00549322,0.00104682,96,apple,1,4,11
147619,2.85555,7.71278,6.26753,2.79405,0.00609131,0.00104682,121,apple,1,8,8
657500,5.12244,7.61175,3.9539,3.58927,0.00668798,0.00104682,98,apple,0,2,5
204119,5.06938,7.63353,3.9539,3.58927,0.00401135,0.00104682,96,apple,1,4,11
204119,5.08895,7.62249,3.9539,4.42069,0.00401135,0.00104682,101,apple,1,8,21
575003,5.06938,7.666,3.9539,3.58927,0.00401135,0.00104682,96,apple,1,5,11
