Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
346990,6.41129,8.3685,1.75067,9.9709,0.00360619,0.00104682,105,apple,1,11,2
147618,6.41129,7.666,8.60687,9.9709,0.00397481,0.00104682,146,apple,1,11,8
204119,5.12244,7.62249,8.60687,9.9709,0.00360619,0.00104682,105,apple,1,10,2
575050,5.12244,7.61628,8.60687,9.9709,0.00414514,0.00104682,146,apple,1,14,22
204119,5.06938,8.3685,8.60687,5.52853,0.00817127,0.00104682,105,apple,1,13,11
806668,5.08895,7.66595,6.28039,2.75028,0.00491271,0.00104682,136,apple,1,5,14
361200,5.79285,7.60504,8.60687,5.54526,0.00401135,0.00104682,127,apple,1,11,8
575003,6.37489,7.68939,3.9539,4.42826,0.00401135,0.00104682,98,apple,1,4,16
574936,5.17441,7.61628,8.60687,4.42069,0.00413159,0.0010073,101,apple,1,4,19
433958,5.12852,7.666,8.60687,2.75028,0.0011488,0.00104682,99,apple,0,5,16
204119,5.06938,7.71278,3.9539,5.52853,0.00609131,0.00122578,96,apple,1,8,11
657500,5.08895,7.65653,3.9539,4.42069,0.00401135,0.00104682,101,apple,1,4,19
575003,5.06938,7.71278,3.9539,4.42826,0.00401135,0.00104682,96,apple,1,8,11
768615,6.50119,7.64664,3.9539,2.75028,0.00401135,0.00104682,99,apple,1,19,14
739976,5.15887,7.66595,0.481061,1.11962,0.00401135,0.00104682,99,apple,1,4,14
739976,5.12543,7.58084,3.9539,2.75028,0.00654073,0.00104682,136,apple,1,19,7
575003,5.08895,7.71278,3.9539,4.42826,0.00491271,0.00104682,96,apple,1,5,11
657557,6.41129,7.64457,8.58115,2.75028,0.00654073,0.00104682,136,apple,1,20,8
346990,5.15887,8.3685,1.99505,9.9709,0.00697508,0.00104682,105,apple,1,11,8
739976,5.53799,7.42747,3.9539,4.2412,0.00581407,0.00104682,99,apple,1,20,14
575050,5.12244,7.64664,3.9539,2.75028,0.00401135,0.00104682,99,apple,1,13,14
460963,1.95153,7.61628,1.75067,9.9709,0.00360619,0.0010073,102,apple,1,4,19
657500,5.53799,7.61628,3.97676,1.11962,0.00401135,0.00159311,151,apple,1,4,16
739976,6.41129,7.66595,8.58115,2.75028,0.00401135,0.00104682,99,apple,1,4,14
204119,5.17441,7.71278,3.9539,4.42069,0.00609131,0.0010073,101,apple,1,8,11
657500,5.08895,7.65653,3.94642,4.42069,0.00664916,0.00139764,101,apple,1,4,14
361200,6.41129,7.64457,8.60687,2.75315,0.00654073,0.00104682,136,apple,1,20,8
204119,5.06938,8.3685,8.60687,5.52853,0.00817127,0.00104682,105,apple,1,13,11
739976,5.12543,7.58084,8.58115,2.75028,0.00654073,0.00104682,136,apple,1,19,7
433958,5.12852,7.65653,8.60687,4.42069,0.00258008,0.00104682,99,apple,0,4,16
575003,5.06938,7.71278,3.9539,4.42826,0.00401135,0.00104682,96,apple,1,8,11
346990,6.41129,7.64457,8.60687,2.75315,0.00697508,0.00104682,105,apple,1,11,8
740010,5.06938,7.42747,3.9539,4.2412,0.00581407,0.00104682,105,apple,1,20,11
346990,6.41129,7.64457,3.9539,2.75315,0.00443378,0.00104682,105,apple,1,5,11
574936,5.14843,7.62249,8.60687,4.42069,0.00360619,0.00104682,101,apple,1,10,2
204119,5.06938,7.58084,8.58115,5.52853,0.00782004,0.00104682,136,apple,1,19,7
204119,6.37489,7.71278,3.99876,5.52853,0.00401135,0.00104682,121,apple,1,4,8
806668,5.08021,7.71278,3.9539,3.58927,0.00486172,0.00104682,94,apple,1,8,11
361122,5.79285,7.60504,8.60687,2.75315,0.00341671,0.00104682,127,apple,1,11,8
763662,5.53799,5.19962,3.9539,2.75721,0.00401135,0.00104682,102,apple,1,20,14
768615,6.50119,7.65653,8.60687,4.42069,0.00258008,0.00104682,99,apple,1,19,14
346990,6.41129,7.64457,9.96267,4.42826,0.00697508,0.00104682,96,apple,1,11,11
739976,6.41129,7.61892,8.58115,2.76044,0.00401135,0.00104682,99,apple,1,4,14
