Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,predator,0,13,16
278510,3.95177,7.60764,3.94227,6.4938,0.00937189,0.00104682,180,scavenger,1,13,15
640065,3.65928,7.55861,5.61174,0.767548,0.00937189,0.00104682,181,apple,1,16,11
640635,3.65928,7.54628,6.08857,2.80717,0.00937189,0.00104682,157,scavenger,1,16,24
529615,3.65928,7.55861,4.59475,2.75093,0.00915681,0.00104682,72,apple,1,16,11
640065,3.65928,7.55861,6.04404,2.75093,0.00937189,0.00104682,181,apple,1,16,11
640065,3.65928,7.55861,5.15464,2.75093,0.00937189,0.00104682,157,apple,0,16,11
273108,3.66701,7.57339,8.87492,3.76664,0.00874086,0.00104682,76,apple,1,16,30
691052,3.65928,7.55861,6.04404,2.75093,0.00937189,0.00104682,106,apple,1,16,11
444567,3.66701,7.529,5.13491,2.80717,0.00937189,0.00104682,181,apple,0,13,26
278510,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00120793,181,predator,1,17,16
278510,3.95177,7.60764,6.08857,6.4938,0.00937189,0.00104682,180,scavenger,1,13,20
691052,3.65928,7.55861,6.04404,2.703,0.00937189,0.00104682,106,apple,1,16,11
361538,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00136905,181,predator,1,17,16
278510,3.95177,7.60764,3.94227,5.15905,0.00937189,0.00104682,180,predator,0,13,16
444567,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00136905,181,predator,1,17,16
640065,3.65928,7.57197,4.59475,2.75093,0.00915681,0.00104682,72,apple,1,16,11
691052,3.65928,7.55861,6.04404,2.703,0.00937189,0.00104682,106,apple,1,16,11
640065,3.65928,7.55861,5.61174,3.76664,0.00874086,0.00104682,76,apple,1,16,11
278419,3.95177,7.55861,3.94227,2.77758,0.00937189,0.00104682,181,predator,0,17,16
361538,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00120793,181,predator,1,17,30
640635,3.95177,7.59561,6.08857,2.80717,0.00937189,0.00104682,180,scavenger,1,16,20
640065,3.65928,7.57197,4.59475,2.75093,0.00915681,0.00104682,72,apple,1,16,11
278419,3.95177,7.55861,3.94227,2.75557,0.00937189,0.00104682,180,predator,0,13,16
361538,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00120793,181,predator,1,17,30
691052,3.65928,7.55861,6.04404,0.767548,0.00937189,0.00104682,106,apple,1,16,11
691052,3.61501,5.77407,6.04404,2.703,0.00937189,0.00104682,106,apple,1,16,11
640065,3.66701,7.529,5.13491,3.76664,0.00874086,0.00104682,181,apple,0,13,26
278510,3.92013,7.55861,6.08857,2.77758,0.00937189,0.00251284,181,predator,1,17,16
640635,3.65928,7.54628,6.08857,2.80717,0.00937189,0.00104682,157,scavenger,1,16,20
