"Maluverec Pertisensus","","0",1,240,128,461,5079,SW,migrate,5.96896,8.33733,5.07881,2.78311,0.001,1,754419,4.73256,6.32104,6.90387,7.21136,0.0029458,0.00161164,162,apple,1,27,29
"Malumita Pertisensus","","0",1,240,295,95,4809,none,migrate,5.33598,9.35774,4.80883,0.960323,0.001,1,913463,4.47797,6.32104,6.90387,4.87783,0.0172553,0.00106489,163,apple,0,27,19
"Malugax Aevisensus","","0",1,240,420,450,4599,S,sleep,5.02438,9.40433,2.21502,-0.767144,0.001,1,287217,4.70344,6.32104,3.16766,7.17624,0.0136274,0.00161164,167,apple,1,22,8
"Malumita Aevisensus","","0",1,240,266,372,4536,SE,hungry,2.94686,4.53192,4.53585,-0.712347,0.001,1,288162,4.30381,6.32104,6.87832,4.87783,0.0186054,0.00161164,163,apple,0,27,25
"Malugax Aevisensus","","0",1,240,230,56,4101,N,sleep,3.32709,9.69417,2.87697,-0.683931,0.001,1,288162,3.32846,6.32104,3.21438,8.82014,0.0146931,0.00100874,163,apple,1,27,26
"Malumita Aevisensus","","0",1,240,316,455,3992,E,sleep,3.98342,9.03496,2.528,3.36074,0.001,1,288060,4.30381,7.61628,3.25942,8.82014,0.016568,0.00191529,163,apple,0,27,22
"Malumita Aevisensus","","0",1,240,278,381,3597,E,hungry,1.42681,4.70388,3.59692,-0.328775,0.001,1,288162,4.70344,6.32104,6.87832,4.89841,0.0136274,0.00161164,167,apple,0,27,8
"Musamita Aevivisus","","Q",1,240,320,12,3541,N,sleep,4.71941,9.6235,2.88697,-0.364231,0.001,1,287633,4.30381,8.89741,3.00638,8.82014,0.0186054,0.00161164,99,banana,0,27,7
"Malumilia Aevivisus","","0",1,240,43,49,3169,W,breed,4.51609,9.12164,3.16895,8.82318,0.001,1,288162,3.32846,8.89741,5.36531,8.82014,0.0146931,0.00107272,99,apple,1,4,24
"Malumita Aevisensus","","0",1,240,399,172,3090,SW,hungry,1.19255,4.52623,3.08996,-0.0443847,0.001,1,287555,4.30381,7.61628,3.25942,8.78553,0.016568,0.00100874,168,apple,0,27,8
"Malumita Aevisensus","","0",1,240,267,493,2889,NE,breed,4.62315,8.97258,2.88897,4.90417,0.001,1,288162,4.30381,6.32104,3.18022,4.89841,0.0186054,0.00161164,167,apple,0,27,20
"Malugax Aevisensus","","0",1,240,89,176,2708,SW,hungry,3.10079,4.60459,2.70799,-0.354561,0.001,1,288162,4.30381,6.32104,3.26201,7.17624,0.0172013,0.00161164,162,apple,1,28,22
"Malumita Brevisensus","","0",1,240,384,15,2226,NE,hungry,0.761695,4.28657,2.22602,-0.470928,0.001,1,167790,3.32846,6.32104,3.21438,8.85944,0.0146931,0.00107272,163,apple,0,27,26
"Malumita Aevisensus","","0",1,240,464,293,2201,none,migrate,5.56377,9.61484,2.20102,3.49621,0.001,1,288162,4.30381,6.32104,6.90387,7.17624,0.0136274,0.00161164,163,apple,0,21,7
"Malumita Aevisensus","","0",1,240,173,461,2159,W,sleep,4.44232,3.82202,0.544997,-0.49126,0.001,1,287555,3.18724,2.10113,0.44641,8.78553,0.016568,0.00100874,157,apple,0,16,12
"Malugax Aevisensus","","0",1,240,97,275,2017,W,hungry,2.62898,4.51441,2.01704,-0.713959,0.001,1,288162,4.30381,6.32104,6.87832,4.87783,0.0186054,0.00161164,162,apple,1,27,7
